,SCHOOL CODE,SCHOOL NAME
454,X536,ps 536
455,X691,bronx little school
456,K003,ps 003 the bedford village
457,K008,ps 008 robert fulton
458,K009,ps 009 teunis g bergen
459,K011,ps 011 purvis j behan
460,K020,ps 020 clinton hill
461,K044,ps 044 marcus garvey
462,K046,ps 046 edward c blum
463,K054,ps 054 samuel c barnes
464,K056,ps 056 lewis h latimer
465,K067,ps 067 charles a dorsey
466,K093,ps 093 william h prescott
467,K113,ms 113 ronald edmonds learning center
468,K133,ps 133 william a butler
469,K256,ps 256 benjamin banneker
470,K265,dr susan s mckinney secondary school of the arts
471,K266,ms k266 - park place community middle school
472,K270,ps 270 johann dekalb
473,K282,ps 282 park slope
474,K287,ps 287 bailey k ashford
475,K301,satellite east middle school
476,K305,ps 305 dr peter ray
477,K307,ps 307 daniel hale williams
478,K313,satellite west middle school
479,K351,the urban assembly unison school
480,K492,academy of arts and letters
481,K527,urban assembly institute of math and science for young women
482,K691,fort greene preparatory academy
483,K016,ps 016 leonard dunkly
484,K017,ps 017 henry d woodworth
485,K018,ps 018 edward bush
486,K023,ps 023 carter g woodson
487,K031,ps 031 samuel f dupont
488,K034,ps 034 oliver h perry
489,K050,jhs 050 john d wells
490,K059,ps 059 william floyd
491,K071,juan morel campos secondary school
492,K084,ps 084 jose de diego
493,K110,ps 110 the monitor
494,K120,ps 120 carlos tapia
495,K126,john ericsson middle school 126
496,K132,ps 132 the conselyea school
497,K147,ps 147 isaac remsen
498,K157,ps/is 157 the benjamin franklin health & science academy
499,K196,ps 196 ten eyck
500,K250,ps 250 george h lindsay
501,K257,ps 257 john f hylan
502,K297,ps 297 abraham stockton
503,K318,is 318 eugenio maria de hostos
504,K319,ps 319
505,K380,ps 380 john wayne elementary
506,K414,brooklyn arbor elementary school
507,K577,conselyea preparatory school
508,K582,ms 582
509,K586,lyons community school
510,K614,young women's leadership school of brooklyn
511,K001,ps 001 the bergen
512,K010,"magnet school of math, science and design technology"
513,K015,ps 015 patrick f daly
514,K024,ps 024
515,K029,ps 029 john m harrigan
516,K032,ps 032 samuel mills sprole
517,K038,ps 038 the pacific
518,K039,ps 039 henry bristow
519,K051,ms 51 william alexander
520,K058,ps 058 the carroll
521,K088,jhs 088 peter rouget
522,K094,ps 094 the henry longfellow
523,K107,ps 107 john w kimball
524,K118,the maurice sendak community school
525,K124,ps 124 silas b dutcher
526,K130,ps 130 the parkside
527,K131,ps 131 brooklyn
528,K136,is 136 charles o dewey
529,K146,ps 146
530,K154,the windsor terrace school
531,K169,ps 169 sunset park
532,K172,ps 172 beacon school of excellence
533,K230,ps 230 doris l cohen
534,K261,ps 261 philip livingston
535,K295,ps 295
536,K321,ps 321 william penn
537,K418,the childrens school
538,K442,ms 442 carroll gardens school for innovation
539,K443,new voices school of academic & creative arts
540,K447,the math & science exploratory school
541,K448,brooklyn secondary school for collaborative studies
542,K464,park slope collegiate
543,K497,school for international studies
544,K516,sunset park avenues elementary school
545,K676,red hook neighborhood school
546,K821,sunset park prep
547,K839,ms 839
548,K005,ps 005 dr ronald mcnair
549,K021,ps 021 crispus attucks
550,K025,ps 025 eubie blake school
551,K026,ps 026 jesse owens
552,K028,ps 028 the warren prep academy
553,K035,ms 035 stephen decatur
554,K040,ps 040 george w carver
555,K057,jhs 057 whitelaw reid
556,K081,ps 081 thaddeus stevens
557,K243,ps 243k- the weeksville school
558,K262,ps 262 el hajj malik el shabazz elementary school
559,K267,"ms 267 math, science & technology"
560,K308,ps 308 clara cardwell
561,K309,ps 309 the george e wibecan preparatory academy
562,K335,ps 335 granville t woods
563,K627,brighter choice community school
564,K628,brooklyn brownstone school
565,K681,madiba prep middle school
566,K002,parkside preparatory academy
567,K006,ps 006
568,K012,dr jacqueline peek-davis school
569,K061,ms 061 dr gladstone h atwell
570,K091,ps 091 the albany avenue school
571,K092,ps 092 adrian hegeman
572,K138,ps 138 brooklyn
573,K161,ps 161 the crown
574,K181,ps 181 brooklyn
575,K189,ps 189 the bilingual center
576,K191,ps 191 paul robeson
577,K221,ps 221 toussaint l'ouverture
578,K241,ps 241 emma l johnston
579,K246,ms 246 walt whitman
580,K249,ps 249 the caton
581,K289,ps 289 george v brower
582,K316,ps 316 elijah stroud
583,K340,is 340
584,K352,ebbets field middle school
585,K353,elijah stroud middle school
586,K354,the school of integrated learning
587,K375,ps 375 jackie robinson school
588,K382,academy for college preparation and career exploration: a college board school
589,K394,ms k394
590,K397,ps 397 foster-laurie
591,K398,ps 398 walter weaver
592,K399,ps 399 stanley eugene clark
593,K484,ronald edmonds learning center ii
594,K531,"school for human rights, the"
595,K532,new bridges elementary
596,K543,"science, technology and research early college high school at erasmus"
597,K590,medgar evers college preparatory school
598,K705,brooklyn arts and science elementary school
599,K722,new heights middle school
600,K770,ps 770 new american academy
601,K066,ps 66
602,K068,is 068 isaac bildersee
603,K114,ps 114 ryder elementary
604,K115,ps 115 daniel mucatel school
605,K135,ps 135 sheldon a brookner
606,K208,ps 208 elsa ebeling
607,K211,is 211 john wilson
608,K219,ps 219 kennedy-king
609,K233,ps 233 langston hughes
610,K235,ps 235 lenox school
611,K244,ps 244 richard r green
612,K268,ps 268 emma lazarus
613,K272,ps 272 curtis estabrook
614,K276,ps 276 louis marshall
615,K279,ps 279 herman schreiber
616,K285,is 285 meyer levin
617,K366,the science and medicine middle school
618,K581,east flatbush community research school
619,K588,middle school for art and philosophy
620,K598,middle school of marketing and legal studies
621,K763,brooklyn science and engineering academy
622,K007,ps 007 abraham lincoln
623,K013,ps 013 roberto clemente
624,K065,ps 065
625,K089,ps 089 cypress hills
626,K108,ps 108 sal abbracciamento
627,K149,ps 149 danny kaye
628,K158,ps 158 warwick
629,K159,ps 159 isaac pitkin
630,K171,is 171 abraham lincoln
631,K190,ps 190 sheffield
632,K202,ps 202 ernest s jenkyns
633,K213,ps 213 new lots
634,K214,ps 214 michael friedsam
635,K218,jhs 218 james p sinnott
636,K224,ps 224 hale a woodruff
637,K273,ps 273 wortman
638,K290,ps 290 juan morel campos
639,K292,jhs 292 margaret s douglas
640,K306,ps 306 ethan allen
641,K325,the fresh creek school
642,K328,ps 328 phyllis wheatley
643,K345,ps 345 patrolman robert bolden
644,K346,ps 346 abe stark
645,K364,is 364 gateway
646,K404,academy for young writers
647,K409,east new york family academy
648,K422,spring creek community school
649,K452,frederick douglass academy viii middle school
650,K557,brooklyn gardens elementary school
651,K654,van siclen community middle school
652,K661,vista academy
653,K662,liberty avenue middle school
654,K663,school of the future brooklyn
655,K677,east new york elementary school of excellence
656,K678,east new york middle school of excellence
657,K760,highland park community school
658,K030,ps/is 30 mary white ovington
659,K048,ps 048 mapleton
660,K062,jhs 062 ditmas
661,K069,ps 69 vincent d grippo school
662,K102,ps 102 the bayview
663,K104,ps/is 104 the fort hamilton school
664,K105,ps 105 the blythebourne
665,K112,ps 112 lefferts park
666,K127,ps 127 mckinley park
667,K160,ps 160 william t sampson
668,K163,ps 163 bath beach
669,K164,ps 164 caesar rodney
670,K170,ralph a fabrizio school
671,K176,ps 176 ovington
672,K179,ps 179 kensington
673,K180,the seeall academy
674,K185,ps 185 walter kassenbrock
675,K186,ps 186 dr irving a gladstone
676,K187,the christa mcauliffe school\is 187
677,K192,ps 192 - the magnet school for math and science inquiry
678,K200,ps 200 benson school
679,K201,jhs 201 the dyker heights
680,K204,ps 204 vince lombardi
681,K205,ps 205 clarion
682,K220,jhs 220 john j pershing
683,K223,jhs 223 the montauk
684,K227,jhs 227 edward b shallow
685,K229,ps 229 dyker
686,K247,ps 247 brooklyn
687,K259,jhs 259 william mckinley
688,K264,ps 264 bay ridge elementary school for the arts
689,K310,the school for future leaders
690,K503,ps 503: the school of discovery
691,K506,ps 506: the school of journalism & technology
692,K609,urban assembly school for criminal justice
693,K682,the academy of talented scholars
694,K686,brooklyn school of inquiry
695,K748,ps 748 brooklyn school for global scholars
696,K971,"school of math, science, and healthy living"
697,K090,ps 90 edna cohen school
698,K095,ps 095 the gravesend
699,K096,is 096 seth low
700,K097,ps 97 the highlawn
701,K098,is 98 bay academy
702,K099,ps 099 isaac asimov
703,K100,ps 100 the coney island school
704,K101,ps 101 the verrazano
705,K121,ps 121 nelson a rockefeller
706,K128,ps 128 bensonhurst
707,K153,ps 153 homecrest
708,K177,ps 177 the marlboro
709,K188,ps 188 michael e berdy
710,K199,ps 199 frederick wachtel
711,K209,ps 209 margaret mead
712,K212,ps 212 lady deborah moody
713,K215,ps 215 morris h weiss
714,K216,ps 216 arturo toscanini
715,K225,ps k225 - the eileen e zaglin
716,K226,ps 226 alfred de bmason
717,K228,is 228 david a boody
718,K238,ps 238 anne sullivan
719,K239,mark twain is 239 for the gifted & talented
720,K253,ps 253
721,K281,is 281 joseph b cavallaro
722,K288,ps 288 the shirley tanyhill
723,K303,is 303 herbert s eisenberg
724,K329,ps 329 surfside
725,K468,kingsborough early college school
726,K690,brooklyn studio secondary school
727,K014,jhs 014 shell bank
728,K052,ps 052 sheepshead bay
729,K078,jhs 078 roy h mann
730,K109,ps 109
731,K119,ps 119 amersfort
732,K134,ps k134
733,K139,ps 139 alexine a fenty
734,K152,school of science & technology
735,K193,ps 193 gil hodges
736,K194,ps 194 raoul wallenberg
737,K195,ps 195 manhattan beach
738,K197,ps 197 - the kings highway academy
739,K198,ps 198 brooklyn
740,K203,ps 203 floyd bennett school
741,K206,ps 206 joseph f lamb
742,K207,ps 207 elizabeth g leary
743,K217,ps 217 colonel david marcus school
744,K222,ps 222 katherine r snyder
745,K234,jhs 234 arthur w cunningham
746,K236,ps 236 mill basin
747,K240,andries hudde
748,K245,ps 245
749,K251,ps 251 paerdegat
750,K254,ps 254 dag hammarskjold
751,K255,ps 255 barbara reing school
752,K269,ps 269 nostrand
753,K277,ps 277 gerritsen beach
754,K278,jhs 278 marine park
755,K312,ps 312 bergen beach
756,K315,ps k315
757,K326,ps 326
758,K361,ps 361 east flatbush early childhood school
759,K381,i s 381
760,K889,ps 889
761,K890,ms 890
762,K041,ps 041 francis white
763,K137,ps/is 137 rachel jean mitchell
764,K150,ps 150 christopher
765,K155,ps/ is 155 nicholas herkimer
766,K156,ps 156 waverly
767,K165,ps 165 ida posner
768,K178,ps 178 saint clair mckelway
769,K184,ps 184 newport
770,K284,ps 284 lew wallace
771,K298,ps 298 dr betty shabazz
772,K323,ps/is 323
773,K327,ps 327 dr rose b english
774,K363,brownsville collaborative middle school
775,K392,is 392
776,K401,christopher avenue community school
777,K446,riverdale avenue community school
778,K518,kappa v
779,K522,mott hall iv
780,K599,brooklyn landmark elementary school
781,K644,eagle academy for young men ii
782,K664,brooklyn environmental exploration school (bees)
783,K668,riverdale avenue middle school
784,K671,mott hall bridges academy
785,K697,teachers preparatory high school
786,Q005,is 5 - the walter crowley intermediate school
787,Q007,ps 007 louis f simeone
788,Q012,ps 012 james b colgate
789,Q013,ps 013 clement c moore
790,Q014,ps 014 fairview
791,Q016,ps q016 the nancy debenedittis school
792,Q019,ps 019 marino jeantet
793,Q028,ps 28 - the thomas emanuel early childhood center
794,Q049,ps 049 dorothy bonawit kole
795,Q058,ps 58 - the school of heroes
796,Q061,is 061 leonardo da vinci
797,Q068,ps 068 cambridge
798,Q071,ps 071 forest
799,Q073,is 73 - the frank sansivieri intermediate school
800,Q077,is 077
801,Q081,ps 81q jean paul richter
802,Q087,ps / is 087 middle village
803,Q088,ps 088 seneca
804,Q089,ps 089 elmhurst
805,Q091,ps 091 richard arkwright
806,Q093,is 093 ridgewood
807,Q102,ps 102 bayview
808,Q110,ps 110
809,Q113,ps/is 113 anthony j pranzo
810,Q119,is 119 the glendale
811,Q125,is 125 thom j mccann woodside
812,Q128,"ps 128 the lorraine tuzzo, juniper valley elementary school"
813,Q143,ps 143 louis armstrong
814,Q153,ps 153 maspeth elem
815,Q199,ps 199 maurice a fitzgerald
816,Q211,elm tree elementary school
817,Q229,ps 229 emanuel kaplan
818,Q239,ps 239
819,Q290,ace academy for scholars at the geraldine ferraro campus
820,Q305,learners and leaders
821,Q307,pioneer academy
822,Q311,corona arts and sciences academy
823,Q330,ps 330
824,Q343,the children's lab school
825,Q560,"robert f wagner, jr secondary school for arts and technology"
826,Q877,the 51 avenue academy (the path to academic excellence)
827,Q020,ps 020 john bowne
828,Q021,ps 021 edward hart
829,Q022,ps 022 thomas jefferson
830,Q024,ps 024 andrew jackson
831,Q025,is 025 adrien block
832,Q029,ps 029 queens
833,Q032,ps 032 state street
834,Q079,ps 079 francis lewis
835,Q107,ps 107 thomas a dooley
836,Q120,ps 120 queens
837,Q129,ps 129 patricia larkin
838,Q130,ps 130
839,Q154,ps 154 queens
840,Q163,ps 163 flushing heights
841,Q164,ps 164 queens valley
842,Q165,ps 165 edith k bergtraum
843,Q169,ps 169 bay terrace
844,Q184,ps 184 flushing manor
845,Q185,jhs 185 edward bleeker
846,Q189,jhs 189 daniel carter beard
847,Q193,ps 193 alfred j kennedy
848,Q194,jhs 194 william carr
849,Q200,ps/ms 200 - the pomonok school & star academy
850,Q201,ps 201 the discovery school for inquiry and research
851,Q209,ps 209 clearview gardens
852,Q214,ps 214 cadwallader colden
853,Q219,ps 219 paul klapper
854,Q237,is 237
855,Q242,ps 242 leonard p stavisky early childhood school
856,Q244,the active learning elementary school
857,Q250,is 250 the robert f kennedy community middle school
858,Q252,"queens school of inquiry, the"
859,Q281,east-west school of international studies
860,Q285,world journalism preparatory: a college board school
861,Q294,bell academy
862,Q499,"the queens college school for math, science and technology"
863,Q018,ps 018 winchester
864,Q026,ps 026 rufus king
