School Campus,Arrested,Child in Crisis,Juvenile Report,Mitigated,PINS / Warrant,Summons,mitigated,Total
JHS 104 Simon Baruch(MS),,,1.0,,,,,1.0
JHS 113(BN),,2.0,,1.0,,,,3.0
JHS 113(XE),2.0,9.0,4.0,2.0,,,2.0,19.0
JHS 117 Francis Scott Key(BN),,7.0,,2.0,,,,9.0
JHS 118(MN),,,,1.0,1.0,,,2.0
JHS 126(BN),,1.0,3.0,11.0,,,8.0,23.0
JHS 143(XW),,2.0,1.0,1.0,,2.0,,6.0
JHS 145 Arturo Toscanini(XW),3.0,6.0,2.0,2.0,,,1.0,14.0
JHS 149(XW),,3.0,,,,,,3.0
JHS 157(QN),1.0,,2.0,,,,,3.0
JHS 166 George Gershwin(BN),,4.0,,2.0,,,8.0,14.0
JHS 166 Roberto Clemente(XW),,9.0,,2.0,,,,11.0
JHS 185(QN),,,,,,,1.0,1.0
JHS 189(QN),,,2.0,,,,,2.0
JHS 190(QN),,1.0,,,,,,1.0
JHS 194(QN),,2.0,,2.0,,,,4.0
JHS 217(QS),3.0,5.0,5.0,9.0,,1.0,2.0,25.0
JHS 22 JORDAN L. MOTT(XW),1.0,2.0,2.0,,,,,5.0
JHS 231(QS),1.0,,,3.0,,1.0,,5.0
JHS 258 David Ruggles(BN),,6.0,2.0,2.0,,,,10.0
JHS 259 William McKinley(BS),,1.0,2.0,,,,,3.0
JHS 292(BN),3.0,1.0,,5.0,,,2.0,11.0
JHS 318(BN),2.0,1.0,2.0,,,,,5.0
JHS 50(BN),3.0,6.0,2.0,,,,,11.0
JHS 56(MS),1.0,1.0,,,,,1.0,3.0
JM Rapport School for Career Development(XW),4.0,21.0,1.0,2.0,,1.0,,29.0
JOHN ADAMS HS(QS),3.0,6.0,1.0,4.0,,1.0,1.0,16.0
JOHN BOWNE HS(QS),14.0,8.0,2.0,11.0,,11.0,10.0,56.0
JOHN DEWEY GED(BS),1.0,,,,,,,1.0
JOHN DEWEY HS(BS) ,2.0,3.0,3.0,4.0,,3.0,3.0,18.0
JOHN F. KENNEDY GED(XW),,,,,,1.0,,1.0
JOHN F. KENNEDY HS(XW),1.0,6.0,7.0,14.0,,7.0,8.0,43.0
JOHN JAY HS(BS),2.0,1.0,,7.0,,3.0,5.0,18.0
JONAS BRONCK ACADEMY(XW),,6.0,,,,,,6.0
JUAN MOREL CAMPOS SECONDARY SCH-IS 71K(BN),1.0,1.0,1.0,3.0,,,2.0,8.0
JUMP START ACADEMY(QS) ,,3.0,,,,,,3.0
Jamaica Gateway to the Sciences(QS),,,,1.0,,,,1.0
John F. Kennedy Jr. School (old P721 OTC)(QN),,3.0,,,,,,3.0
KAPPA I(XE),1.0,,,,,,,1.0
KAPPA III(XW),,1.0,,,,,,1.0
KAPPA IV(MN),,,1.0,,,,,1.0
KAPPA V(BN),,2.0,,4.0,,2.0,1.0,9.0
KINGSBRIDGE INTERNATIONAL HS(XW),3.0,,,1.0,,,1.0,5.0
KIPP AMP CHARTER SCHOOL(BN) ,,1.0,,,,,,1.0
Khalil Gibran International Academy,,,,6.0,,,,6.0
Khalil Gibran International Academy(BN),,1.0,,4.0,,,3.0,8.0
Kings Collegiate Charter School(BS),,,1.0,,,,,1.0
LAFAYETTE HS(BS) ,3.0,2.0,1.0,5.0,,4.0,1.0,16.0
LANDMARK HS(MS) ,,1.0,,,,1.0,1.0,3.0
LEADERSHIP & PUBLIC SERVICE HS(MS) ,,2.0,1.0,3.0,,1.0,4.0,11.0
LEADERSHIP INSTITUTE(XE) ,,,,2.0,,,,2.0
LEGACY HIGH  SCHOOL FOR INTEGRATED STUDIES(Manhattan),,4.0,,,,,,4.0
LEGACY SCHOOL FOR INTEGRATED STUDIES(MS) ,,1.0,,,,,,1.0
LEON M. GOLDSTEIN HS FOR THE SCIENCES(BS) ,1.0,,,,,,,1.0
LIBERTY HS ACADEMY FOR NEWCOMERS(MS) ,2.0,,,2.0,,1.0,,5.0
LIFE SCIENCES SECONDARY SCHOOL(MN) ,2.0,2.0,4.0,1.0,,1.0,,10.0
LONG ISLAND CITY HS(QN) ,4.0,,1.0,1.0,,,1.0,7.0
LOUIS D. BRANDEIS HS(MN) ,3.0,1.0,2.0,,,4.0,1.0,11.0
LOWER EAST SIDE PREPARATORY HS(MS),,1.0,,,,,,1.0
LOWER MANHATTAN ARTS ACADEMY(MS) ,,1.0,,,,,,1.0
Leadership Prep Bedford Stuyvesant Charter School(BN),,2.0,,1.0,,,1.0,4.0
Leadership Prep Brownsville Charter School(BN),,1.0,,,,,,1.0
Leadership Preparatory Ocean Hill Charter School(BN),,,,,,,1.0,1.0
Life Academy HS for Film & Music(BS),1.0,,,,,,,1.0
Lower Manhattan Community Middle School(MS) ,,1.0,,,,,,1.0
MANHATTAN COMPREHENSIVE DAY & NIGHT HS(MS) ,,2.0,,,,,,2.0
MANHATTAN VILLAGE ACADEMY(MS) ,,1.0,,2.0,,,,3.0
MARBLE HILL HS FOR INTERNATIONAL STUDIES(XW) ,,1.0,,,,,,1.0
MARTE VALLE SECONDARY SCHOOL(MS) ,,1.0,,,,,,1.0
MARTIN VAN BUREN HS(QS),3.0,1.0,2.0,1.0,,3.0,1.0,11.0
MATHEMATICS SCIENCE RESEARCH & TECHNOLOGY MAGNET HS(QS),,2.0,,,1.0,1.0,,4.0
MEDGAR EVERS COLLEGE PREPARATORY SCHOOL(BS),,10.0,,,,,2.0,12.0
METROPOLITAN CORPORATE ACADEMY HS(BN) ,,,,1.0,,,,1.0
MICHAEL J. PETRIDES HS(SI) ,1.0,1.0,,9.0,,,4.0,15.0
MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE(Queens),,1.0,,,,,,1.0
MIDWOOD HS(BS),4.0,,2.0,9.0,,1.0,1.0,17.0
MILLENIUM ART ACADEMY(XE) ,1.0,,,2.0,,,,3.0
MILLENIUM HS(MS),,1.0,1.0,,,,,2.0
MONROE ACADEMY FOR BUSINESS & LAW(XE) ,1.0,1.0,,,,,,2.0
MONROE ACADEMY FOR VISUAL ARTS & DESIGN(XE) ,1.0,,,,,2.0,,3.0
MORRIS ACADEMY FOR COLLABORATIVE STUDIES(XE),,2.0,,,,1.0,,3.0
MORRIS HS(XE),1.0,4.0,1.0,8.0,,4.0,,18.0
MOTT HALL BRONX HS(XE),,1.0,,1.0,,,,2.0
MOTT HALL HS(MN),3.0,,2.0,1.0,,2.0,,8.0
MOTT HALL V(XE) ,,1.0,1.0,,,1.0,,3.0
MOTT HAVEN VILLAGE PREPARATORY HS(XW) ,,1.0,,,1.0,,,2.0
MS 101(XE),,,1.0,1.0,,,1.0,3.0
MS 118(BX),3.0,12.0,1.0,2.0,,,3.0,21.0
MS 118(XW),1.0,1.0,,,,,,2.0
MS 127(XE),,,1.0,,,,1.0,2.0
MS 131(MS),1.0,1.0,1.0,,,,1.0,4.0
MS 131(XE),,,2.0,,,,,2.0
MS 135(XE),2.0,,4.0,1.0,,,1.0,8.0
MS 136(BS),,2.0,2.0,,,,,4.0
MS 137(QS),3.0,9.0,4.0,1.0,,,1.0,18.0
MS 144(XE),3.0,1.0,9.0,2.0,1.0,,1.0,17.0
MS 172(QS),,2.0,1.0,,,,,3.0
MS 174(XE),2.0,6.0,,1.0,,1.0,2.0,12.0
MS 181(XE),,2.0,,2.0,,,4.0,8.0
MS 2(BS),,1.0,1.0,6.0,,,,8.0
MS 201 SCHOOL OF THEATRE ARTS & RES(XE),,7.0,2.0,1.0,,,3.0,13.0
MS 202(QS),,3.0,2.0,,,,,5.0
MS 203(XW),,7.0,1.0,2.0,,,4.0,14.0
MS 210(QS),3.0,6.0,,14.0,1.0,1.0,3.0,28.0
MS 216(QS),,,1.0,2.0,,,1.0,4.0
MS 246 Walt Whitman(BS),3.0,1.0,1.0,4.0,,,,9.0
MS 254(XW),1.0,1.0,1.0,,,,,3.0
MS 255 Salk School of Science(MS),,,,1.0,,,,1.0
MS 260M - Clinton School for Writers & Artist,1.0,,,,,,,1.0
MS 267 Math Science & Technology School(BN),,4.0,,4.0,,,,8.0
MS 301(XE),1.0,3.0,3.0,,,,,7.0
MS 308(XW),,,1.0,,,,,1.0
MS 318(XW),,1.0,2.0,1.0,,,1.0,5.0
MS 319 Maria Teresa(MN),1.0,,,,,,,1.0
MS 328 Manhattan Middle School for Scientific Inquiry(MN),1.0,7.0,1.0,5.0,1.0,,,15.0
MS 390(BN),1.0,1.0,,,,,1.0,3.0
MS 390(XW),,1.0,,,,,,1.0
MS 391(XW),5.0,2.0,,,,,,7.0
MS 394(BN),1.0,6.0,1.0,4.0,,,5.0,17.0
MS 399(XW),,,1.0,,,,,1.0
MS 45 STARS Prep Academy(MN),,1.0,,,,,,1.0
MS 45 Thomas C. Giordano(XW),1.0,3.0,4.0,,,,2.0,10.0
MS 51(BS),,3.0,,,,,,3.0
MS 57(BN),,2.0,1.0,1.0,,,,4.0
MS 61(BS),2.0,1.0,1.0,6.0,,,,10.0
MS 67(QN),,,1.0,,,,,1.0
MS 72(QS),2.0,1.0,6.0,1.0,,,1.0,11.0
MS 80(XW),,3.0,2.0,,,,,5.0
MS 839 (BS),,,1.0,,,,,1.0
MS 88(BS),1.0,,3.0,1.0,,,,5.0
MURRY BERGTRAUM HS FOR BUSINESS CAREERS(MS),6.0,,,,,,,6.0
Manhattan ALC Battery Park(MS),2.0,4.0,2.0,1.0,,4.0,,13.0
Manhattan ALC Boys Club of NY(MS),,,,,,1.0,,1.0
Manhattan ALC East Harlem(MN),,3.0,,,,,,3.0
Manhattan Academy for Arts & Language(MS),,2.0,,2.0,,,,4.0
Manhattan Business Academy(MS),,,1.0,,,,,1.0
Manhattan School for Career Development P751(MS),,4.0,2.0,,,,,6.0
Mark Twain IS 239 for the Gifted & Talented(BS),,,1.0,,,,,1.0
Marta Valle Model HS(MS),,1.0,,,,,,1.0
Maspeth HS(QN),,2.0,,,,,2.0,4.0
McCown Expeditionary Learning School(SI),,2.0,,,,2.0,2.0,6.0
Metropolitan Diploma Plus HS(BN),5.0,5.0,,,1.0,,,11.0
Metropolitan Expeditionary Learning School(QN),1.0,,,,,,2.0,3.0
Monroe Academy Annex(XE),,3.0,,,,,,3.0
Mott Hall Community School(XE),,1.0,1.0,,,,,2.0
Mott Hall III(XE),,2.0,,,,,,2.0
Multicultural HS(BN),3.0,,,,,,2.0,5.0
Murray Hill Academy(MS),,1.0,,,,,,1.0
NEST+M NEW EXPLORATIONS INTO SCIENCE TECHNOLOGY & MATH HS(MS),,1.0,,1.0,,,,2.0
NEW DESIGN HS(MS) ,2.0,,,1.0,,1.0,,4.0
NEW DORP EVENING M/W(SI),,,,,,,5.0,5.0
NEW DORP HS(SI),5.0,3.0,1.0,42.0,2.0,4.0,22.0,79.0
NEW EXPLORERS HS(XW),,1.0,1.0,2.0,,1.0,,5.0
NEW SCHOOL FOR ARTS & SCIENCES(XE),1.0,,,,,,,1.0
NEW UTRECHT HS(BS) ,1.0,6.0,1.0,1.0,,3.0,1.0,13.0
NEW WORLD HS(XE),,,,1.0,,,,1.0
NEWCOMERS HS(QN),,1.0,,,,,,1.0
NEWTOWN HS ANNEX(QN),,1.0,,,,,,1.0
NEWTOWN HS(QN),,1.0,,4.0,,,1.0,6.0
NORMAN THOMAS HS(MS),2.0,1.0,,1.0,,2.0,,6.0
NYC LAB SCHOOL FOR COLLABORATIVE STUDIES(MS) ,,,1.0,,,2.0,,3.0
NYC MUSEUM SCHOOL(MS),,,,1.0,,,,1.0
Nelson Mandela HS(BN),1.0,2.0,,6.0,,,,9.0
New MS@Q314 (QS),,6.0,,1.0,,,,7.0
New Millennium Business Academy Middle School(XW),,,1.0,,,,,1.0
New Settlement Community Campus(XW),,3.0,,,,,,3.0
New Visions Charter High School for Advance Math & Science III,,1.0,,,,,,1.0
New York City Academy for Discovery(QS),,1.0,,1.0,,,,2.0
North Queens Community HS(QS),3.0,1.0,,,,1.0,,5.0
OFFSITE EDUCATION SERVICE(QS),1.0,,,,,,2.0,3.0
Olympus Academy(BS),,1.0,,1.0,,,2.0,4.0
Origins High School,,,,2.0,,,,2.0
P036K(Brooklyn),1.0,3.0,,,,,1.0,5.0
P140(BN),,9.0,,1.0,,,1.0,11.0
P162(MN),,1.0,,,,,,1.0
P168 Annex(XW),,1.0,,,,,,1.0
P169(MN),1.0,6.0,2.0,,,,,9.0
P177(QN),,2.0,,,,,,2.0
P17@IS184(XW),,,1.0,2.0,,,,3.0
P186(XE),1.0,17.0,2.0,3.0,,,,23.0
P188@JHS120(XE),,1.0,,,,,,1.0
P224(QS),,1.0,,,,,,1.0
P25 Annex Arthur Kill Road(SI),1.0,2.0,1.0,1.0,,,1.0,6.0
P25 South Richmond(SI),5.0,9.0,4.0,2.0,,2.0,,22.0
P256@Beach Channel HS(QS),2.0,2.0,,,,,,4.0
P35(MS),6.0,7.0,3.0,3.0,,7.0,1.0,27.0
P36(BS),,1.0,,,,,,1.0
P369(BN),2.0,5.0,1.0,2.0,,,1.0,11.0
P37(SI),,2.0,,,,,,2.0
P371(BS),2.0,1.0,,2.0,,,,5.0
P371ANNEX(BS),,1.0,,,,,,1.0
P373 BKYLN TRANSITION CTR(BN),1.0,10.0,,2.0,,,,13.0
P373(SI),,3.0,,1.0,,,,4.0
P4@P179(QS),,1.0,,,,,,1.0
P721 OTC(BS),,1.0,,,,,,1.0
P721 OTC(XE),,4.0,,,,,,4.0
P723(XE),3.0,3.0,,,,,1.0,7.0
P752 CAREER DEV.(QS),4.0,20.0,,,,2.0,2.0,28.0
P752@LAW & ENFORCEMENT(QS),,1.0,,,,,,1.0
P753 SCHOOL FOR CAREER DEV.(BN),1.0,1.0,1.0,1.0,,4.0,,8.0
P771(BS),,3.0,,,,,,3.0
P811 BRONX CMHC(XE),,8.0,,,,,,8.0
P811 CMHC(BS),,1.0,,,,,,1.0
P811 Mickey Mantle School(MN),,3.0,2.0,,,,,5.0
P94(MS),,1.0,,,,,,1.0
P9@WALTER REED SCHOOL(QN),,4.0,1.0,,,,,5.0
PACE HS(MS),1.0,,1.0,,,,,2.0
PACIFIC HS(BN),,1.0,,,,,,1.0
PAL Longwood Suspension Center(XE),,1.0,,,,,,1.0
PARK EAST HS(MN),,1.0,,,,,,1.0
PARK WEST HS(MS) ,2.0,,1.0,1.0,,5.0,,9.0
PATHWAYS COLLEGE PREPARATORY SCHOOL(QS),1.0,,,,,,,1.0
PAUL ROBESON HS(BN) ,1.0,2.0,,7.0,,3.0,2.0,15.0
PEACE & DIVERSITY ACADEMY(XE) ,1.0,,,,,,1.0,2.0
PORT RICHMOND HS(SI) ,5.0,10.0,4.0,22.0,1.0,2.0,6.0,50.0
PROGRESS HS FOR PROFESSONAL STUDIES(BN) ,1.0,4.0,,5.0,,1.0,6.0,17.0
PROSPECT HEIGHTS EVENING M/W(BS),,1.0,,,,,,1.0
PROSPECT HEIGHTS HS(BS),8.0,4.0,1.0,1.0,,3.0,2.0,19.0
PS 062R,,,,2.0,,,1.0,3.0
PS 1(BS),,,,1.0,,,,1.0
PS 1(XW),,,1.0,,,,,1.0
PS 101(MN),,6.0,1.0,,,,,7.0
PS 102(BS),1.0,4.0,,,,,1.0,6.0
PS 102(MN),1.0,2.0,,1.0,,,,4.0
PS 103(XE),,3.0,,,,,,3.0
PS 104(BS),,,,3.0,,,1.0,4.0
PS 104(QS),,1.0,2.0,,,,,3.0
PS 105(QS),1.0,6.0,3.0,,,,,10.0
PS 105(XE),,1.0,,,,,,1.0
PS 106(QS),,2.0,,,,,1.0,3.0
PS 106(XE),,2.0,,,,,,2.0
PS 107(QN),1.0,1.0,,,,,,2.0
PS 107(XE),,1.0,,,,,,1.0
PS 108(MN),1.0,2.0,,,,,,3.0
PS 108(QS),,1.0,,,,,,1.0
PS 108(XE),,,,1.0,,,,1.0
PS 109(BROOKLYN),,1.0,,,,,1.0,2.0
PS 109(XW),,4.0,,1.0,,,,5.0
PS 11(SI),,3.0,,2.0,,,2.0,7.0
PS 110 Theodore Schoenfeld(XE),,3.0,,1.0,,,,4.0
PS 110Q @ PS 315Q (QN),1.0,,,,,,,1.0
PS 111 Jacob Blackwell(QN),1.0,,,,,,,1.0
PS 112(BS),,,,1.0,,,,1.0
PS 113 Isaac Chauncey(QN),,,2.0,,,,,2.0
PS 113(MN),,1.0,,,,,,1.0
PS 114(BS),,3.0,,,,,1.0,4.0
PS 114(XW),,3.0,,1.0,,,,4.0
PS 115(MN),,1.0,,,,,,1.0
PS 116(BN),1.0,2.0,,,,,2.0,5.0
PS 117(QS),,2.0,,,,,,2.0
PS 118(QS),1.0,1.0,,,,,1.0,3.0
PS 119(BS),,,,1.0,,,,1.0
PS 119(XE),1.0,,,,,,,1.0
PS 12(BN),,2.0,,2.0,,,1.0,5.0
PS 12(QN),,1.0,,,,,,1.0
PS 12(XE),2.0,1.0,,,,,,3.0
PS 120(QN),,1.0,,1.0,,,,2.0
PS 121(XE),1.0,,,,,,,1.0
PS 122 Mamie Fay(QN),,3.0,,,,,,3.0
PS 123(BN),,1.0,,,,,,1.0
PS 123(MN),1.0,4.0,4.0,1.0,,2.0,,12.0
PS 124 OSMOND A CHURCH(QS),,1.0,,,,,,1.0
PS 124 Yung Wing(MS),,1.0,,,,,,1.0
PS 125(MN),,1.0,,,,,,1.0
PS 126 Jacob August Riis(MS),,,,2.0,,,,2.0
PS 126(XW),,1.0,1.0,,,,,2.0
PS 127 Aerospace & Science Academy(QN),,3.0,,,,,,3.0
PS 128 Juniper Valley(QN),,,,1.0,,,1.0,2.0
PS 128 MINISCHOOL(MN),,1.0,,,,,,1.0
PS 129(MN),,,1.0,,,,,1.0
PS 129(QN),,1.0,,,,,,1.0
PS 129(XW),,4.0,3.0,,,,1.0,8.0
PS 13(BN),,3.0,,,,,,3.0
PS 13(QN),,2.0,,,,,,2.0
PS 13(SI),,3.0,,1.0,,,1.0,5.0
PS 130(BS),,,,,,,1.0,1.0
PS 132 ANNEX Suspension Site(MN),,1.0,1.0,1.0,,,,3.0
PS 132(BN),,1.0,,,,,,1.0
PS 132(MN),,2.0,,,,,,2.0
PS 132(QS),,1.0,,,,,,1.0
PS 132(XE),1.0,2.0,,3.0,,,,6.0
PS 133(MN),,,1.0,,,,,1.0
PS 134 Henrietta Szold(MS),,1.0,,,,,,1.0
PS 134(XE),,,,1.0,,,1.0,2.0
PS 135(QS),,2.0,,,,,2.0,4.0
PS 138(BN),,3.0,,1.0,,,,4.0
PS 138(QS),,,,,,,1.0,1.0
PS 139(BS),,2.0,,,,,,2.0
PS 140 Nathan Straus(MS),,1.0,,1.0,,,1.0,3.0
PS 140(QS),,1.0,,1.0,,,,2.0
PS 143(QN),,1.0,,,,,,1.0
PS 145(BN),,,,1.0,,,1.0,2.0
PS 145(MN),,2.0,1.0,,,,,3.0
PS 146(MN),,1.0,,,,,,1.0
PS 146(QS),,,,2.0,,,,2.0
PS 147 RONALD MCNAIR(QS),,1.0,,,,,,1.0
PS 147(BN),,1.0,,6.0,,,6.0,13.0
PS 148(QN),,2.0,,,,,,2.0
PS 149(Brooklyn),,2.0,,,,,,2.0
PS 149(MN),1.0,3.0,,1.0,,,,5.0
PS 15(Bronx),,1.0,,,,,,1.0
PS 15(Brooklyn),,1.0,,,,,,1.0
PS 150(Brooklyn),,1.0,,3.0,,,,4.0
PS 152(Bronx),1.0,,,,,,,1.0
PS 152(Brooklyn),,1.0,,,,,,1.0
PS 152(Manhattan),,1.0,,,,,,1.0
PS 152(Queens),,,,,,,1.0,1.0
PS 153(Bronx),,,,2.0,,,3.0,5.0
PS 153(Manhattan),,,1.0,,,,,1.0
PS 154(Bronx),,,,1.0,,,,1.0
PS 154(Queens),1.0,,,,,,,1.0
PS 155(Brooklyn),,1.0,,2.0,,,1.0,4.0
PS 155(Manhattan),3.0,,,,,,,3.0
PS 156(Brooklyn),,3.0,,2.0,,,2.0,7.0
PS 156(Queens),,,,2.0,,,,2.0
PS 157(Bronx),,1.0,,,,,,1.0
PS 157(Brooklyn),2.0,,,,,,4.0,6.0
PS 16 (Staten Island),2.0,4.0,,1.0,,,,7.0
PS 16(Bronx),,1.0,,,,,,1.0
PS 16(Queens),,2.0,,,,,,2.0
PS 160(Queens),,1.0,,,,,,1.0
PS 161(Bronx),,3.0,,1.0,,,,4.0
PS 161(Manhattan),,1.0,,,,,,1.0
PS 163 Bath Beach (Brooklyn),,1.0,3.0,1.0,,,,5.0
PS 163(Manhattan),1.0,1.0,1.0,,,,,3.0
PS 163(Queens),,4.0,,,,,,4.0
PS 164(Brooklyn),,1.0,,,,,,1.0
PS 164(Queens),1.0,,,,,,,1.0
PS 165(Brooklyn),2.0,5.0,1.0,3.0,,,4.0,15.0
PS 165(Manhattan),,5.0,1.0,,,,1.0,7.0
PS 165(Queens),,1.0,,,,,,1.0
PS 166(Queens),,1.0,,,,,,1.0
PS 169(Queens),1.0,,,,,,,1.0
PS 171(Manhattan),1.0,,1.0,,,,2.0,4.0
PS 172(Bronx),,3.0,,,,,,3.0
PS 174(Brooklyn),,9.0,,8.0,,,,17.0
PS 175(Manhattan),1.0,,,,,,,1.0
PS 175(Queens),,1.0,,,,,,1.0
PS 176(Bronx),,1.0,,,,,,1.0
PS 178(Bronx),,2.0,,,,,,2.0
PS 178(Brooklyn),,,,10.0,,,4.0,14.0
PS 179(XW),,2.0,,1.0,,,,3.0
PS 18(Manhattan),,1.0,,,,,,1.0
PS 18(Staten Island),1.0,1.0,1.0,,,,,3.0
PS 180(Brooklyn),1.0,2.0,,,,,,3.0
PS 180(Manhattan),2.0,1.0,,,,,,3.0
PS 181(Brooklyn),,4.0,,1.0,,,,5.0
PS 182 Samantha Smith(QS),,,,,,,4.0,4.0
PS 182(XE),,2.0,,,,,,2.0
PS 183(Brooklyn),,4.0,,3.0,,,,7.0
PS 184(Brooklyn),,2.0,,3.0,,,,5.0
PS 184-Shuang Wen(Manhattan),,,,1.0,,,,1.0
PS 185(Brooklyn),,1.0,,,,,,1.0
PS 186(Brooklyn),,,,1.0,,,,1.0
PS 186(Queens),,2.0,,,,,,2.0
PS 188 (BRONX),,1.0,,,,,,1.0
PS 188 The Island School(Manhattan),,7.0,,,,1.0,,8.0
PS 189(Brooklyn),,2.0,,,,,,2.0
PS 189(Manhattan),,,1.0,,,,,1.0
PS 19 Asher Levy (Manhattan),,3.0,,,,,,3.0
PS 191(Brooklyn),,2.0,,5.0,,,1.0,8.0
PS 191(Manhattan),,3.0,,,,,,3.0
PS 191(Queens),,2.0,,,,,,2.0
PS 192 # 2(Manhatan),,1.0,,,,,,1.0
PS 192(Brooklyn),,1.0,,,,,,1.0
PS 194 Countee Cullen(MN),1.0,,1.0,,,,2.0,4.0
PS 194(Brooklyn),,,,2.0,,,,2.0
PS 195(Brooklyn),,1.0,,,,,,1.0
PS 195(Queens),,1.0,,,,,,1.0
PS 196(Bronx),,2.0,,,,,,2.0
PS 196(Brooklyn),2.0,3.0,,,,,,5.0
PS 196(Queens),,,1.0,,,,,1.0
PS 197(Brooklyn),,,,1.0,,,,1.0
PS 197(Manhattan),,,1.0,,,,1.0,2.0
PS 197(Queens),,1.0,,,,,,1.0
PS 198(Brooklyn),,,,1.0,,,1.0,2.0
PS 198(Manhattan),,1.0,,,,,,1.0
PS 199(Bronx),,9.0,,,,,,9.0
PS 2 Meyer London(Manhattan),1.0,1.0,,,,,,2.0
PS 20 Anna Silver(Manhattan),1.0,,,1.0,,,1.0,3.0
PS 20(Bronx),,1.0,,,,,,1.0
PS 20(Brooklyn),,4.0,,,,,,4.0
PS 200(Brooklyn),1.0,,,1.0,,,,2.0
PS 200(Queens),1.0,,,,,,,1.0
PS 202(Brooklyn),,,,1.0,,,,1.0
PS 203(Brooklyn),,3.0,,,,,,3.0
PS 203(Queens),,1.0,,,,,,1.0
PS 204 Morris Heights(XW),,1.0,,,,,,1.0
PS 205(Bronx),,2.0,,,,,,2.0
PS 205(Brooklyn),1.0,,,,,,,1.0
PS 206(Brooklyn),,4.0,1.0,,,,4.0,9.0
PS 207(Bronx),,1.0,,,,,,1.0
PS 207(Brooklyn),1.0,,,1.0,,,,2.0
PS 207(Queens),,3.0,,,,,1.0,4.0
PS 208(Brooklyn),,1.0,,,,,,1.0
PS 208(Manhattan),,1.0,1.0,,,,,2.0
PS 209(Bronx),,1.0,,,,,,1.0
PS 209(Brooklyn),,1.0,,,,,,1.0
PS 209(Queens),,1.0,,,,,,1.0
PS 21(Bronx),,,1.0,,,,,1.0
PS 21(Brooklyn),1.0,,,,,,,1.0
PS 21(Staten Island),,2.0,,,,,,2.0
PS 211(Bronx),,7.0,,,,,,7.0
PS 212(Brooklyn),,1.0,,,,,,1.0
PS 213(Brooklyn),,8.0,,4.0,,,3.0,15.0
PS 214(Bronx),1.0,5.0,2.0,3.0,,,,11.0
PS 214(Brooklyn),,3.0,,3.0,,,,6.0
PS 215(Brooklyn),,2.0,,1.0,,,,3.0
PS 215(Queens),,,,,,,1.0,1.0
PS 216(Brooklyn),,1.0,,,,,,1.0
PS 217(Brooklyn),1.0,3.0,,,,,,4.0
PS 218(Bronx),,1.0,,,,,,1.0
PS 219(Brooklyn),,1.0,,,,,,1.0
PS 219(Queens),,2.0,,1.0,,,,3.0
PS 22(BN),1.0,2.0,,,,,1.0,4.0
PS 22(Queens),,2.0,,,,,1.0,3.0
PS 22(Staten Island),,4.0,,,,,,4.0
PS 221(Brooklyn),,,,1.0,,,1.0,2.0
PS 223(Queens),,2.0,,,,,,2.0
PS 224(Brooklyn),,,,,,,1.0,1.0
PS 224@P710(Queens),,,,,,,1.0,1.0
PS 225(Brooklyn),1.0,8.0,,4.0,,,,13.0
PS 226(Brooklyn),,,1.0,,,,1.0,2.0
PS 23(Brooklyn),,2.0,,,,,,2.0
PS 23(Staten Island),,1.0,,,,,,1.0
PS 230(Bronx),1.0,1.0,,,,,,2.0
PS 230(Brooklyn),,,,,,,1.0,1.0
PS 234(Bronx),,6.0,1.0,,,,,7.0
PS 234(Manhattan),,,,1.0,,,,1.0
PS 235 Lenox School(BS),,1.0,,,,,,1.0
PS 238(Brooklyn),,1.0,2.0,1.0,,,,4.0
PS 24(Brooklyn),,1.0,,,,,,1.0
PS 24(Queens),,1.0,1.0,,,,,2.0
PS 242 (Manhattan),,4.0,1.0,,,,1.0,6.0
PS 243(Brooklyn),,4.0,,,,,2.0,6.0
PS 244(BS),,1.0,,,,,1.0,2.0
PS 245(Brooklyn),,,,,,,1.0,1.0
PS 246(Bronx),,5.0,,,,,,5.0
PS 249(Brooklyn),,1.0,,,,,1.0,2.0
PS 25(Bronx),,1.0,,2.0,,,,3.0
PS 25(Brooklyn),,2.0,,,,,10.0,12.0
PS 250(Brooklyn),,,,1.0,,,,1.0
PS 251(Queens),,1.0,1.0,,,,,2.0
PS 253(Queens),,3.0,,2.0,,,,5.0
PS 256 @ PS 43(Queens),,,1.0,,,,1.0,2.0
PS 256(Brooklyn),,1.0,,1.0,,,,2.0
PS 257(Brooklyn),,,2.0,,,,,2.0
PS 26 (Brooklyn),,1.0,,,,,,1.0
PS 261(Brooklyn),,,,1.0,,,,1.0
PS 262(Brooklyn),,2.0,1.0,,,,1.0,4.0
PS 268 (QUEENS),,,,4.0,,,2.0,6.0
PS 270(Brooklyn),,4.0,,,1.0,,,5.0
PS 270(Queens),,3.0,,,,,,3.0
PS 273 (Queens),,,,1.0,,,,1.0
PS 273(Brooklyn),1.0,,,2.0,,,1.0,4.0
PS 276(Brooklyn),,1.0,,,,,,1.0
PS 277(Brooklyn),,,,1.0,,,,1.0
PS 279(Bronx),,1.0,,1.0,,,1.0,3.0
PS 279(Brooklyn),1.0,5.0,,,,,3.0,9.0
PS 28(Manhattan),1.0,1.0,,,,,,2.0
PS 280(Bronx),,1.0,,,,,2.0,3.0
