,dbn,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,K001,,,,,,"9,992,651","10,143,921","10,648,403","11,236,206","11,876,960","12,679,061","13,666,442"
1,K002,,,,,,"4,450,728","4,490,175","4,307,041","4,230,547","4,118,972","4,182,057","4,634,833"
2,K003,,,,,,,"5,072,110","4,904,738","4,842,447","4,979,315","4,896,431","4,870,818"
3,K005,,,,,,"4,793,360","4,336,877","4,096,694","3,791,380","3,993,529","3,460,115","3,591,103"
4,K006,,,,,,"5,824,302","5,899,457","5,982,643","6,163,292",,"7,126,444","8,268,231"
5,K007,,,,,,"7,030,534","6,845,341","7,881,634","8,295,231","8,119,598","8,493,458","8,761,260"
6,K008,,,,,,,"4,103,726","4,804,991","5,550,138","6,186,075","6,442,231",
7,K009,,,,,,,,,,,,
8,K010,,,,,,"7,469,277","7,897,989","8,189,591","8,473,340","10,223,880","14,388,495","16,305,342"
9,K011,,,,,,"4,243,050",,"4,863,931","4,825,217","5,459,073","5,768,956","6,320,972"
10,K012,,,,,,"3,732,519","3,420,340","3,174,742","3,176,466","3,632,023","4,073,151","4,115,229"
11,K013,,,,,,"5,939,250","5,102,917","5,249,469","5,387,883","5,450,419","5,717,821","6,651,549"
12,K014,,,,,,"7,691,587","7,515,652","6,774,304","6,580,303","6,468,689","6,614,298","6,944,432"
13,K015,,,,,,"5,061,089","5,164,746","5,477,502","5,476,387","7,136,097","7,496,725","7,375,168"
14,K016,,,,,,"3,145,930","3,136,833","3,078,475","3,013,486","3,343,668","3,567,196","3,601,197"
15,K017,,,,,,"4,633,073","4,525,981","4,477,837","4,164,269","4,076,665","4,148,720","4,265,820"
16,K018,,,,,,"1,957,072","2,171,721","2,171,893","2,356,093","2,695,129","2,773,601","2,699,809"
17,K019,,,,,,"4,013,639","4,119,597","3,575,639","2,191,565","1,536,486",0,
18,K020,,,,,,"3,115,111","3,123,388","3,053,530","3,336,322","3,823,174","3,988,203","4,203,399"
19,K021,,,,,,"5,143,832","5,066,417","4,996,294","5,298,007","5,608,244","5,864,445","6,085,496"
20,K022,,,,,,"5,763,230","5,554,107","2,960,951","1,762,476",0,,
21,K023,,,,,,"2,873,545","2,898,822","2,780,834","2,776,499","3,220,028","3,518,322","4,121,914"
22,K024,,,,,,"7,909,325","7,506,375","7,444,226","7,404,003","7,462,863","7,794,348","8,415,902"
23,K025,,,,,,"4,942,646","4,559,154","4,523,904","4,141,244","3,820,470","3,679,533","3,251,232"
24,K026,,,,,,"3,199,428","3,141,197","2,981,040","2,957,216","2,812,413","2,883,684","2,982,929"
25,K027,,,,,,"3,061,450",,,,,,
26,K028,,,,,,"3,090,435","2,969,907","3,066,244","2,984,154","2,803,947","2,756,762","2,743,249"
27,K029,,,,,,"4,928,972","5,122,564","5,518,955","5,529,969","5,799,191","6,420,775","7,059,730"
28,K030,,,,,,"2,922,828","2,788,484","2,883,558","3,803,831","4,809,451","6,110,649","7,829,976"
29,K031,,,,,,"4,359,437","4,666,075","4,795,625","4,724,058","5,360,088","5,696,114","5,773,164"
30,K032,,,,,,"6,847,516","6,890,175","6,598,666","7,333,899","7,568,516","7,993,995","8,416,146"
31,K034,,,,,,"3,714,248","3,798,383","3,705,243","3,849,190","3,981,825","4,022,691","4,335,504"
32,K035,,,,,,"2,393,117","2,358,080","2,368,735","2,339,492","2,256,867","2,245,332","2,432,182"
33,K038,,,,,,"4,377,339","4,256,311","4,431,662","4,540,238","5,199,733","5,443,563","5,311,684"
34,K039,,,,,,"2,994,406","2,870,263","3,171,748","3,074,769","3,409,857","3,447,453","3,526,933"
35,K040,,,,,,"3,343,659","3,404,556","3,035,051","3,243,310","3,290,081","3,445,881","3,681,619"
36,K041,,,,,,"5,948,354","5,770,126","5,686,810","5,311,367","4,953,725","5,289,521","5,388,071"
37,K044,,,,,,"3,472,508","3,229,040","3,146,730","2,924,880","3,074,692","2,872,956","2,960,878"
38,K045,,,,,,"6,872,637","6,852,059","7,145,105","7,510,939","7,585,026","7,179,593","7,649,253"
39,K046,,,,,,"4,281,145","4,014,690","4,126,690","4,350,429","4,480,247","5,259,476","4,682,858"
40,K048,,,,,,"4,972,467","4,910,307","4,781,135","4,849,901","5,185,849","5,607,353","5,532,428"
41,K050,,,,,,,,,,,,
42,K051,,,,,,,,,,,,
43,K052,,,,,,,,,,,,
44,K054,,,,,,,,,,,,
45,K056,,,,,,,,,,,,
46,K057,,,,,,,,,,,,
47,K058,,,,,,,,,,,,
48,K059,,,,,,,,,,,,
49,K061,,,,,,,,,,,,
50,K062,,,,,,,,,,,,
51,K065,,,,,,,,,,,,
52,K066,,,,,,,,,,,,
53,K067,,,,,,,,,,,,
54,K068,,,,,,,,,,,,
55,K069,,,,,,,,,,,,
56,K071,,,,,,,,,,,,
57,K072,,,,,,,,,,,,
58,K073,,,,,,,,,,,,
59,K075,,,,,,,,,,,,
60,K078,,,,,,,,,,,,
61,K081,,,,,,,,,,,,
62,K084,,,,,,,,,,,,
63,K086,,,,,,,,,,,,
64,K088,,,,,,,,,,,,
65,K089,,,,,,,,,,,,
66,K090,,,,,,,,,,,,
67,K091,,,,,,,,,,,,
68,K092,,,,,,,,,,,,
69,K093,,,,,,,,,,,,
70,K094,,,,,,,,,,,,
71,K095,,,,,,,,,,,,
72,K096,,,,,,,,"6,678,828","6,230,610","6,163,700","7,055,877","8,929,771"
73,K097,,,,,,"5,908,813","6,115,788","7,236,436","7,096,435","7,561,719","8,002,823","8,453,294"
74,K098,,,,,,"6,000,217","5,864,061","6,502,899","6,775,744","7,544,621","8,470,886","8,889,781"
75,K099,,,,,,"5,519,124","5,703,227","5,908,500","6,178,624","6,083,973","6,705,006","7,367,198"
76,K100,,,,,,"5,191,110","4,955,623","5,100,987","5,373,044","5,486,913","5,876,854","6,217,770"
77,K101,,,,,,"6,101,915","6,547,693","6,701,803","6,998,242","7,504,526","7,742,493","7,983,403"
78,K102,,,,,,"8,503,881","8,775,943","9,438,663","9,562,953","10,051,212","11,070,160","11,912,130"
79,K103,,,,,,"2,359,030","2,331,079","2,011,126","1,245,836",0,,
80,K104,,,,,,"7,656,934","6,993,070","7,582,110","7,727,378","8,146,357","8,812,685","9,485,204"
81,K105,,,,,,"13,220,693","12,910,575","12,883,711","12,684,856","12,619,928","12,913,613","13,576,152"
82,K106,,,,,,"6,514,903","6,074,724","5,859,261","5,678,189","5,856,290","5,960,924","6,481,812"
83,K107,,,,,,"4,006,957","3,738,080","3,970,680","4,075,858","3,978,389","4,103,224","4,322,417"
84,K108,,,,,,"6,808,503","6,903,216","7,187,918","7,401,460","7,905,327","8,952,334","9,652,095"
85,K109,,,,,,"6,525,940","6,554,776","6,721,150","6,402,251","6,800,944","7,866,631","7,858,944"
86,K110,,,,,,"3,355,324","3,263,334","3,203,795","3,283,579","3,842,801","3,888,590","4,360,810"
87,K112,,,,,,"3,496,679","3,774,068","4,130,653","4,180,884","4,542,434","5,514,047","6,038,952"
88,K113,,,,,,"6,748,995","6,404,736","6,293,365","6,030,963","5,500,775","4,850,672","4,222,384"
89,K114,,,,,,"6,073,775","5,566,813","5,724,568","5,510,424","5,554,114","6,314,611","6,060,149"
90,K115,,,,,,"8,607,424","8,479,042","8,125,966","8,135,272","8,828,672","8,959,170","9,233,071"
91,K116,,,,,,"4,936,054","4,964,720","5,100,651","5,283,889","5,287,998","5,416,706","5,648,172"
92,K118,,,,,,,,,"1,169,233","1,600,520","2,049,255","2,579,234"
93,K119,,,,,,"3,885,021","3,804,341","3,769,139","3,499,460","4,018,705","3,987,027","4,564,029"
94,K120,,,,,,"4,288,801","4,135,441","4,154,693","4,346,612","4,787,830","4,722,691","5,222,922"
95,K121,,,,,,"3,135,724","3,621,586","4,198,213","4,800,363","5,269,717","5,517,047","6,279,136"
96,K122,,,,,,,"1,424,334","2,115,156","2,999,041","4,401,418","4,587,837","4,453,365"
97,K123,,,,,,"7,154,365","7,290,077","7,121,411","7,384,787","7,444,879","7,223,192","7,792,518"
98,K124,,,,,,"3,101,110","3,030,558","3,054,304","3,019,504","3,165,665","3,395,460","3,653,766"
99,K126,,,,,,"4,513,169","5,412,064","5,504,564","4,816,003","4,782,684","5,343,908","5,405,933"
100,K127,,,,,,"4,058,027","4,352,159","4,379,241","4,714,442","4,783,393","5,050,781","5,175,004"
101,K128,,,,,,"3,539,401","3,275,705","3,220,048","3,553,124","3,613,352","4,311,569","4,463,879"
102,K130,,,,,,"4,813,282","5,148,859","5,198,149","5,827,706","6,137,304","7,154,434","7,985,666"
103,K131,,,,,,"7,529,388","7,560,128","7,985,818","8,498,351","9,198,259","9,680,027","10,089,010"
104,K132,,,,,,"5,781,374","5,811,391","5,735,054","5,528,210","5,434,521","5,657,829","5,875,936"
105,K133,,,,,,"3,667,150","3,629,351","3,369,943","4,224,338","4,752,468","5,783,359","6,704,513"
106,K134,,,,,,"4,167,748","4,017,906","4,173,403","4,420,161","4,769,568","4,884,412","5,302,291"
107,K135,,,,,,"6,044,426","5,836,792","5,778,675","5,574,456","5,313,503","5,939,342","5,870,055"
108,K136,,,,,,"5,666,024","5,805,452","5,478,745","5,486,573","5,563,056","5,774,929","5,854,069"
109,K137,,,,,,"3,975,619","3,876,723","3,573,655","3,550,192","3,553,586","3,579,210","3,795,066"
110,K138,,,,,,"8,486,969","8,258,211","7,558,966","7,142,118","7,238,084","7,394,390","7,384,163"
111,K139,,,,,,"8,083,766","7,352,180","7,394,072","7,583,556","8,007,264","8,571,443","8,919,457"
112,K145,,,,,,"7,317,373","7,059,468","7,618,393","7,742,264","7,689,964","7,506,701","7,576,679"
113,K146,,,,,,"5,600,569","5,816,499","6,088,537","6,250,194","6,777,926","7,236,596","7,685,762"
114,K147,,,,,,"3,122,694","2,623,350","2,740,857","3,120,808","3,500,355","3,712,194","4,234,580"
115,K149,,,,,,"6,402,698","6,044,404","5,896,510","6,020,510","6,315,087","6,508,468","7,145,379"
116,K150,,,,,,"3,631,015","3,081,892","3,002,870","2,866,160","2,734,326","2,831,245","2,930,063"
117,K151,,,,,,"3,883,642","3,968,875","4,021,258","4,012,888","4,017,240","4,126,828","4,763,941"
118,K152,,,,,,"6,008,546","6,093,115","6,395,935","6,759,273","7,052,332","7,372,995","8,245,343"
119,K153,,,,,,"4,663,388","4,871,089","4,961,216","4,882,208","5,351,077","5,551,577","5,967,438"
120,K154,,,,,,"3,466,315","3,325,176","3,967,849","4,268,380","4,298,366","4,593,226","4,838,349"
