School Campus,Arrested,Child in Crisis,Juvenile Report,Mitigated,PINS / Warrant,PINS Warrant,Summons,Total
JHS 168(QS),,,1.0,1.0,,,,2.0
JHS 185(QN),1.0,,2.0,1.0,,,,4.0
JHS 189(QN),1.0,,,,,,1.0,2.0
JHS 190(QN),,2.0,4.0,,,,,6.0
JHS 194(QN),,,4.0,,,,,4.0
JHS 217(QS),2.0,,,1.0,,,,3.0
JHS 22 JORDAN L. MOTT(XW),1.0,2.0,2.0,1.0,,,,6.0
JHS 231(QS),2.0,,,2.0,,,,4.0
JHS 258 David Ruggles(BN),4.0,7.0,5.0,2.0,,,,18.0
JHS 259 William McKinley(BS),,,1.0,,,,,1.0
JHS 292(BN),7.0,1.0,1.0,12.0,1.0,,2.0,24.0
JHS 318(BN),,,6.0,,,,,6.0
JHS 50(BN),,,,2.0,,,,2.0
JHS 56(MS),1.0,,,,,,,1.0
JM Rapport School for Career Development(XW),3.0,20.0,2.0,7.0,,,,32.0
JOHN ADAMS EVENING T/R(QS),1.0,,,,,,,1.0
JOHN ADAMS HS(QS),11.0,5.0,2.0,8.0,,,8.0,34.0
JOHN BOWNE HS(QS),16.0,4.0,5.0,16.0,,1.0,12.0,54.0
JOHN DEWEY HS(BS) ,4.0,1.0,2.0,1.0,,,2.0,10.0
JOHN F. KENNEDY GED(XW),,,,,,,2.0,2.0
JOHN F. KENNEDY HS(XW),11.0,2.0,5.0,12.0,,,16.0,46.0
JOHN JAY HS(BS),2.0,,,7.0,,,1.0,10.0
JONAS BRONCK ACADEMY(XW),,1.0,,,,,,1.0
JUAN MOREL CAMPOS SECONDARY SCH-IS 71K(BN),1.0,,,1.0,,,,2.0
JUMP START ACADEMY(QS) ,,1.0,,,,,,1.0
Jamaica Gateway to the Sciences(QS),1.0,,,,,,,1.0
John F. Kennedy Jr. School (old P721 OTC)(QN),,1.0,,,,,,1.0
KAPPA I(XE),,1.0,,,,,,1.0
KAPPA III(XW),,1.0,,,,,,1.0
KAPPA IV(MN),,2.0,1.0,,,,,3.0
KAPPA V(BN),2.0,,1.0,,,,1.0,4.0
KINGSBRIDGE INTERNATIONAL HS(XW),,1.0,,,,,1.0,2.0
Khalil Gibran International Academy(BN),2.0,,,4.0,,,3.0,9.0
Kings Collegiate Charter School(BS),1.0,,,,,,,1.0
Kurt Hahn Expeditionary Learning School(BS),2.0,1.0,,,,,,3.0
LAFAYETTE HS(BS) ,2.0,1.0,1.0,8.0,,1.0,1.0,14.0
LANDMARK HS(MS) ,2.0,,,,1.0,,,3.0
LEADERSHIP & PUBLIC SERVICE HS(MS) ,3.0,1.0,3.0,2.0,1.0,,15.0,25.0
LEADERSHIP INSTITUTE(XE) ,3.0,,,,,,,3.0
LEGACY HIGH  SCHOOL FOR INTEGRATED STUDIES(Manhattan),3.0,2.0,,,,,1.0,6.0
LEGACY SCHOOL FOR INTEGRATED STUDIES(MS) ,,2.0,,,,,,2.0
LEON M. GOLDSTEIN HS FOR THE SCIENCES(BS) ,1.0,,,,,,,1.0
LIBERTY HS ACADEMY FOR NEWCOMERS(MS) ,1.0,,,2.0,,,1.0,4.0
LIFE SCIENCES SECONDARY SCHOOL(MN) ,4.0,,3.0,1.0,,,,8.0
LONG ISLAND CITY HS(QN) ,7.0,,1.0,4.0,,,1.0,13.0
LOUIS D. BRANDEIS HS(MN) ,,,2.0,2.0,,,4.0,8.0
La Cima Charter School(BN),,,1.0,,,,,1.0
Leadership Prep Bedford Stuyvesant Charter School(BN),,,,2.0,,,,2.0
Leadership Prep Brownsville Charter School @ PS 284(BN),,1.0,,,,,,1.0
Learners & Leaders(QN),1.0,,,,,,,1.0
Lenox Academy(BS),,,,1.0,,,,1.0
Liberation Diploma Plus HS(BS),2.0,,,2.0,,,2.0,6.0
Life Academy HS for Film & Music(BS),1.0,,,,,,,1.0
Lower Manhattan Community Middle School(MS) ,,1.0,,,,,,1.0
Lyons Community School(BN),1.0,,2.0,1.0,,,1.0,5.0
MANHATTAN BRIDGES HS(MS) ,1.0,,,,,,,1.0
MANHATTAN COMPREHENSIVE DAY & NIGHT HS(MS) ,,,,,,,1.0,1.0
MANHATTAN HUNTER SCIENCE HS(MN),,,,1.0,,,,1.0
MARBLE HILL HS FOR INTERNATIONAL STUDIES(XW) ,,,,,,,1.0,1.0
MARTIN VAN BUREN HS(QS),4.0,1.0,2.0,3.0,,,8.0,18.0
MATHEMATICS SCIENCE RESEARCH & TECHNOLOGY MAGNET HS(QS),5.0,,,4.0,,1.0,1.0,11.0
MEDGAR EVERS COLLEGE PREPARATORY SCHOOL(BS),4.0,3.0,,2.0,,,,9.0
METROPOLITAN CORPORATE ACADEMY HS(BN) ,,,,3.0,,,,3.0
MICHAEL J. PETRIDES HS(SI) ,2.0,,,1.0,,,5.0,8.0
MID MANHATTAN ADULT TRAINING CENTER(MN),1.0,,,,,,,1.0
MIDDLE COLLEGE HS@LAGUARDIA COMMUNITY COLLEGE(QN),,1.0,,,,,,1.0
MIDWOOD HS(BS),8.0,,1.0,3.0,,,2.0,14.0
MILLENIUM ART ACADEMY(XE) ,,,,1.0,,,,1.0
MONROE ACADEMY FOR BUSINESS & LAW(XE) ,,,,3.0,,,2.0,5.0
MONROE ACADEMY FOR VISUAL ARTS & DESIGN(XE) ,1.0,1.0,,11.0,,,6.0,19.0
MORRIS ACADEMY FOR COLLABORATIVE STUDIES(XE),2.0,1.0,1.0,5.0,,1.0,2.0,12.0
MORRIS HS(XE),3.0,4.0,3.0,20.0,,,5.0,35.0
MOTT HALL BRONX HS(XE),1.0,,,,,,,1.0
MOTT HALL HS(MN),4.0,1.0,,,,,1.0,6.0
MOTT HALL V(XE) ,3.0,,,,,,,3.0
MOTT HAVEN VILLAGE PREPARATORY HS(XW) ,,1.0,,,,,1.0,2.0
MS 118(BX),1.0,,10.0,2.0,,,,13.0
MS 118(XW),,3.0,6.0,,,,,9.0
MS 131(MS),1.0,,1.0,,,,,2.0
MS 131(XE),1.0,2.0,5.0,5.0,,,,13.0
MS 135(XE),1.0,1.0,1.0,,,,,3.0
MS 136(BS),1.0,,2.0,,,,,3.0
MS 137(QS),3.0,4.0,3.0,4.0,,,,14.0
MS 144(XE),2.0,10.0,12.0,2.0,,,1.0,27.0
MS 158(QN),,,1.0,,,,,1.0
MS 172(QS),,1.0,1.0,,,,,2.0
MS 174(XE),9.0,1.0,8.0,5.0,,,1.0,24.0
MS 181(XE),,1.0,8.0,,,,,9.0
MS 2(BS),,2.0,,,,,,2.0
MS 201 SCHOOL OF THEATRE ARTS & RES(XE),1.0,3.0,3.0,10.0,,,,17.0
MS 202(QS),2.0,1.0,5.0,6.0,,,,14.0
MS 203(XW),3.0,4.0,3.0,5.0,,,,15.0
MS 210(QS),3.0,,,2.0,,,,5.0
MS 216(QS),,2.0,,1.0,,,,3.0
MS 222(XW),1.0,,,,,,,1.0
MS 246 Walt Whitman(BS),4.0,2.0,1.0,2.0,,,,9.0
MS 254(XW),1.0,,2.0,1.0,,,,4.0
MS 267 Math Science & Technology School(BN),2.0,6.0,,,,,,8.0
MS 301(XE),2.0,,1.0,5.0,,,,8.0
MS 318(XW),1.0,1.0,4.0,,,,,6.0
MS 319 Maria Teresa(MN),1.0,,1.0,,,,,2.0
MS 326 Writers Today & Leaders Tomorrow(MN),,,1.0,,,,,1.0
MS 328 Manhattan Middle School for Scientific Inquiry(MN),2.0,2.0,,2.0,,,,6.0
MS 390(BN),,1.0,,,2.0,,,3.0
MS 390(XW),,1.0,2.0,3.0,,,,6.0
MS 391(XW),6.0,1.0,5.0,,,,1.0,13.0
MS 394(BN),2.0,3.0,,,,,,5.0
MS 399(XW),,,3.0,1.0,,,,4.0
MS 45 STARS Prep Academy(MN),5.0,,,,,,,5.0
MS 45 Thomas C. Giordano(XW),2.0,4.0,7.0,1.0,,,,14.0
MS 57(BN),,1.0,,1.0,,,1.0,3.0
MS 61(BS),2.0,,5.0,2.0,,1.0,,10.0
MS 67(QN),,1.0,,,,,,1.0
MS 72(QS),2.0,1.0,1.0,,,,,4.0
MS 80(XW),,,4.0,,,,,4.0
MS 88(BS),,1.0,6.0,,,,,7.0
MS839 (BS),,1.0,,,,,,1.0
MURRY BERGTRAUM HS FOR BUSINESS CAREERS(MS),6.0,1.0,2.0,1.0,,,2.0,12.0
Manhattan ALC Battery Park(MS),5.0,0.0,,,,,11.0,16.0
Manhattan ALC Boys Club of NY(MS),6.0,,,,,,1.0,7.0
Manhattan Academy for Arts & Language(MS),,1.0,,2.0,,,,3.0
Manhattan Business Academy(MS),1.0,1.0,,,,,,2.0
Manhattan Center For Science & Mathematics(MN),2.0,1.0,2.0,,,,,5.0
Manhattan Early College School for Advertising(MS),,,1.0,,,,,1.0
Manhattan School for Career Development P751(MS),1.0,2.0,1.0,3.0,,,,7.0
Manhattan South Borough Office,,,1.0,,,,,1.0
Marsh Avenue School for Expeditionary Learning (Old IS 43) (SI),,1.0,,,,,,1.0
Marta Valle Model HS(MS),,,,,,,1.0,1.0
Maspeth HS(QN),,3.0,,,,,,3.0
McCown Expeditionary Learning School(SI),1.0,,1.0,,,,,2.0
Metropolitan Diploma Plus HS(BN),,1.0,,8.0,,,4.0,13.0
Metropolitan Expeditionary Learning School(QN),,,2.0,2.0,,,,4.0
Middle School for Art & Philosophy(BS),1.0,,,,,,,1.0
Monroe Academy Annex(XE),,2.0,,,,,,2.0
Mott Hall Community School(XE),,,1.0,,,,,1.0
Mott Hall IV(BN),,0.0,3.0,,,,,3.0
Mott Haven Community HS(XW),4.0,,,,,,,4.0
Multicultural HS (Bklyn),,1.0,,,,,,1.0
NEW DESIGN HS(MS) ,,,2.0,2.0,,,,4.0
NEW DORP EVENING T/R(SI),,,,1.0,,,,1.0
NEW DORP HS(SI),13.0,3.0,3.0,28.0,2.0,,9.0,58.0
"NEW EXPLORATIONS INTO SCIENCE,TECHNOLOGY & MATH SCHOOL-NEST+m(MS)",,1.0,,,,,,1.0
NEW EXPLORERS HS(XW),7.0,,1.0,,,,2.0,10.0
NEW UTRECHT HS(BS) ,2.0,,1.0,,,,1.0,4.0
NEW WORLD HS(XE),,1.0,,,,,,1.0
NEWTOWN HS(QN),7.0,,,1.0,,,,8.0
NORMAN THOMAS HS(MS),,2.0,2.0,,,,1.0,5.0
NYC ISchool(MS),2.0,,,,,,1.0,3.0
Nelson Mandela HS(BN),,,,1.0,,,1.0,2.0
New Design Middle School(MN),7.0,,1.0,,,,,8.0
New Heights Academy Charter School(MN),,,1.0,,,,,1.0
New MS@Q314 (QS),,2.0,,,,,,2.0
New Millennium Business Academy Middle School(XW),,,1.0,,,,,1.0
New Settlement Community Campus(XW),,3.0,1.0,2.0,,,1.0,7.0
New Voices School of Academics & Creative Arts(BS),,,,1.0,,,,1.0
New York City Academy for Discovery(QS),,1.0,,,,,,1.0
North Queens Community HS(QS),4.0,0.0,,,,,1.0,5.0
Ocean Hill Collegiate Charter School(BN),1.0,,,,,,,1.0
Olympus Academy(BS),1.0,2.0,,3.0,,,3.0,9.0
Origins High School,2.0,,1.0,,,,,3.0
P140(BN),,1.0,1.0,1.0,,,,3.0
P141@PS35(BN),,1.0,,,,,,1.0
P169(MN),7.0,1.0,3.0,,,,,11.0
P177(QN),,2.0,,,,,,2.0
P186(XE),1.0,4.0,2.0,2.0,,,,9.0
P224(QS),,1.0,,,,,,1.0
P25 Annex Arthur Kill Road(SI),2.0,2.0,1.0,,,,,5.0
P25 South Richmond(SI),12.0,8.0,8.0,,1.0,,2.0,31.0
P35(MS),13.0,2.0,4.0,2.0,,,14.0,35.0
P368(BN) ,,0.0,,,,,,0.0
P369(BN),3.0,3.0,2.0,,,,,8.0
P371(BS),3.0,2.0,,2.0,,,,7.0
P373(SI),,1.0,,,,,,1.0
P4@P179(QS),,,,1.0,,,,1.0
P721 OTC(XE),,1.0,,,,,,1.0
P723(XE),1.0,,,,,,,1.0
P752 CAREER DEV.(QS),6.0,8.0,,3.0,,,,17.0
P752@LAW & ENFORCEMENT(QS),,2.0,,1.0,,,,3.0
P753 SCHOOL FOR CAREER DEV.(BN),4.0,1.0,,6.0,1.0,,,12.0
P771(BS),,1.0,,1.0,,,,2.0
P811 BRONX CMHC(XE),,2.0,,,,,,2.0
P811 CMHC(BS),,1.0,,,,,,1.0
PABLO NERUDA ACADEMY FOR ARCHITECTURE & WORLD STUDIES(XE),1.0,,,,,,1.0,2.0
PACE HS(MS),2.0,1.0,1.0,,,,,4.0
PARK EAST HS(MN),,,,1.0,,,1.0,2.0
PARK WEST HS(MS) ,,,3.0,,,,3.0,6.0
PASSAGES ACADEMY(XW),1.0,,,,,,,1.0
PATHWAYS COLLEGE PREPARATORY SCHOOL(QS),3.0,,,2.0,,,1.0,6.0
PAUL ROBESON HS(BN) ,1.0,1.0,4.0,7.0,,,4.0,17.0
PEACE & DIVERSITY ACADEMY(XE) ,4.0,1.0,2.0,1.0,,,,8.0
PORT RICHMOND HS(SI) ,7.0,2.0,12.0,33.0,1.0,,28.0,83.0
PROFESSIONAL PERFORMING ARTS SCHOOL-PPAS(MS) ,,,,,,,1.0,1.0
PROGRESS HS FOR PROFESSONAL STUDIES(BN) ,,,1.0,12.0,,,1.0,14.0
PROSPECT HEIGHTS EVENING M/W(BS),,,1.0,,,,,1.0
PROSPECT HEIGHTS HS(BS),10.0,,6.0,2.0,,,13.0,31.0
PS 1(SI),,,,1.0,,,,1.0
PS 100(BS),,,,,,,1.0,1.0
PS 100(XE),1.0,,,,,,,1.0
PS 101(MN),,2.0,,,,,,2.0
PS 102(BS),1.0,,,,,,,1.0
PS 102(MN),,1.0,,3.0,,,,4.0
PS 102(QN),1.0,,,,,,,1.0
PS 102(XE),,2.0,,,,,,2.0
PS 103 ANNEX(XE),3.0,1.0,,,,,,4.0
PS 103(XE),,3.0,1.0,,,,,4.0
PS 104(QS),1.0,1.0,,,,,,2.0
PS 105(QS),1.0,1.0,,1.0,,,,3.0
PS 105(XE),,2.0,,,,,,2.0
PS 107(QN),,,,1.0,,,,1.0
PS 107(XE),,1.0,,,,,,1.0
PS 108(MN),,,1.0,1.0,,,,2.0
PS 108(QS),1.0,,,,,,,1.0
PS 109(BS),,,,1.0,,,,1.0
PS 109(XW),,3.0,,,,,,3.0
PS 11(SI),,3.0,,,,,,3.0
PS 11(XW),,1.0,,1.0,,,,2.0
PS 110 Theodore Schoenfeld(XE),,1.0,1.0,,,,,2.0
PS 111 Jacob Blackwell(QN),2.0,,,1.0,,,,3.0
PS 111(MS),,,,1.0,,,,1.0
PS 111(XE),,1.0,1.0,,,,,2.0
PS 112(QN),1.0,,,,,,,1.0
PS 113 Isaac Chauncey(QN),1.0,,1.0,,,,,2.0
PS 114(BS),1.0,1.0,,,,,,2.0
PS 114(XW),,1.0,,,,,,1.0
PS 115(BS),,1.0,,,,,,1.0
PS 116(BN),,1.0,,2.0,,,,3.0
PS 116(QS),,1.0,,,,,,1.0
PS 117(QS),,1.0,,,,,,1.0
PS 12(BN),2.0,1.0,1.0,5.0,,,,9.0
PS 12(QN),,,,1.0,,,,1.0
PS 120(BN),,1.0,,,,,,1.0
PS 123(BN),1.0,,,,,,,1.0
PS 123(MN),1.0,3.0,2.0,,,,,6.0
PS 124 OSMOND A CHURCH(QS),,1.0,1.0,2.0,,,,4.0
PS 124 Yung Wing(MS),,1.0,,,,,,1.0
PS 125(MN),,1.0,,,,,,1.0
PS 126 Jacob August Riis(MS),2.0,,,,,,,2.0
PS 126(XW),,1.0,2.0,,,,,3.0
PS 127 Aerospace & Science Academy(QN),1.0,,,,,,,1.0
PS 128 Juniper Valley(QN),,1.0,,,,,,1.0
PS 128 MINISCHOOL(MN),,,1.0,,,,,1.0
PS 129(MN),,1.0,,,,,,1.0
PS 129(XW),4.0,2.0,5.0,1.0,,,,12.0
PS 13(BN),,2.0,1.0,1.0,,,,4.0
PS 132 ANNEX Suspension Site(MN),6.0,,1.0,,,,,7.0
PS 134 Henrietta Szold(MS),,1.0,,,,,,1.0
PS 134(XE),,1.0,,3.0,,,,4.0
PS 137 John L. Bernstein(MS),,1.0,,,,,,1.0
PS 138(BN),3.0,2.0,1.0,,,,,6.0
PS 138(QS),,,1.0,,,,,1.0
PS 139(BS),,,,1.0,,,,1.0
PS 140 Nathan Straus(MS),1.0,1.0,,,,,,2.0
PS 140(QS),,1.0,,,,,,1.0
PS 140(XE),,4.0,,,,,,4.0
PS 145(MN),,1.0,2.0,,,,,3.0
PS 146(MN),,3.0,,,,,,3.0
PS 146(QS),1.0,,,,,,,1.0
PS 147 RONALD MCNAIR(QS),,,,1.0,,,,1.0
PS 147(BN),,2.0,1.0,1.0,,,,4.0
PS 149(Brooklyn),,0.0,,,,,,0.0
PS 149(MN),,4.0,,1.0,,,,5.0
PS 15 Roberto Clemente (MANHATTAN),,1.0,,,,,,1.0
PS 150(Bronx),,1.0,,,,,,1.0
PS 150(Brooklyn),,1.0,,1.0,,,,2.0
PS 152(Bronx),1.0,1.0,,,,,,2.0
PS 153(Bronx),,,,2.0,,,,2.0
PS 153(Brooklyn),1.0,,,,,,,1.0
PS 153(Manhattan),,1.0,,,,,,1.0
PS 154(Bronx),1.0,,,,,,,1.0
PS 154(Manhattan),1.0,,,1.0,,,,2.0
PS 155(Brooklyn),,,,4.0,,,,4.0
PS 155(Manhattan),1.0,,,,,,,1.0
PS 156(Brooklyn),1.0,1.0,,,,,,2.0
PS 158(Brooklyn),2.0,,,,,,,2.0
PS 16 (Staten Island),,,,1.0,,,,1.0
PS 16(Brooklyn),1.0,,,,,,,1.0
PS 16(Queens),,2.0,,,,,,2.0
PS 160(Queens),,1.0,,1.0,,,,2.0
PS 161(Bronx),1.0,,,,,,,1.0
PS 161(Manhattan),1.0,4.0,3.0,2.0,,,,10.0
PS 161(Queens),2.0,,,,,,,2.0
PS 163 Bath Beach (Brooklyn),,,1.0,,,,,1.0
PS 163(Manhattan),,1.0,,,,,,1.0
PS 164(Brooklyn),,3.0,,,,,,3.0
PS 165(Brooklyn),6.0,3.0,4.0,3.0,,,1.0,17.0
PS 165(Manhattan),,1.0,3.0,1.0,,,,5.0
PS 165(Queens),1.0,,,,,,,1.0
PS 167(Brooklyn),3.0,1.0,,,,,,4.0
PS 168 @ MS 203(Bronx),,1.0,,,,,,1.0
PS 17(Brooklyn),,1.0,,,,,,1.0
PS 171(Manhattan),1.0,1.0,1.0,,,,,3.0
PS 173(Manhattan),,,,2.0,,,,2.0
PS 173(Queens),,1.0,,,,,,1.0
PS 174(Brooklyn),,2.0,,1.0,,,,3.0
PS 175(Manhattan),1.0,,1.0,,,,,2.0
PS 176(Manhattan),,1.0,,,,,,1.0
PS 178(Brooklyn),,,2.0,9.0,,,2.0,13.0
PS 179(XW),,2.0,,,,,,2.0
PS 18(Bronx),,1.0,,,,,,1.0
PS 18(Manhattan),2.0,,3.0,,,,,5.0
PS 18(Staten Island),,1.0,,,,,,1.0
PS 180(Brooklyn),,1.0,,,,,,1.0
PS 180(Manhattan),,,,1.0,,,,1.0
PS 181(Brooklyn),1.0,2.0,1.0,,,,,4.0
PS 182(XE),,1.0,,,,,,1.0
PS 183(Brooklyn),,1.0,,2.0,,,,3.0
PS 183(Queens),,,4.0,,,,,4.0
PS 184(Brooklyn),,1.0,,5.0,,,,6.0
PS 185(Manhattan),2.0,,,,,,,2.0
PS 186(Queens),,3.0,,,,,,3.0
PS 188 The Island School(Manhattan),2.0,6.0,,,,,,8.0
PS 188(Brooklyn),,1.0,,,,,,1.0
PS 189(Brooklyn),,1.0,,,,,,1.0
PS 19 Asher Levy (Manhattan),4.0,,,,,,,4.0
PS 19(Brooklyn),,,,1.0,,,,1.0
PS 19(Queens),1.0,,,,,,,1.0
PS 191(Brooklyn),,,,1.0,,,,1.0
PS 191(Manhattan),,1.0,2.0,,,,,3.0
PS 192 # 2(Manhatan),,2.0,,,,,,2.0
PS 192 (Manhattan),,1.0,,,,,,1.0
PS 192(Brooklyn),,2.0,,,,,,2.0
PS 193(Brooklyn),1.0,,,,,,,1.0
PS 194(Brooklyn),,,,1.0,,,1.0,2.0
PS 196(Brooklyn),,1.0,,,,,,1.0
PS 197(Brooklyn),,,1.0,2.0,,,,3.0
PS 197(Queens),4.0,1.0,,4.0,,,,9.0
PS 198(Bronx),,1.0,2.0,,,,,3.0
PS 198(Manhattan),,,,1.0,,,,1.0
PS 199(Bronx),,3.0,1.0,,,,,4.0
PS 20 Anna Silver(Manhattan),1.0,1.0,1.0,,,,,3.0
PS 20(Bronx),,1.0,,,,,,1.0
PS 20(Queens),,,1.0,,,,,1.0
PS 20(Staten Island),1.0,1.0,1.0,1.0,,,,4.0
PS 200(Manhattan),,1.0,,,,,,1.0
PS 201(Queens),,1.0,,,,,,1.0
PS 203(Brooklyn),,,,2.0,,,,2.0
PS 205(Bronx),,1.0,,,,,,1.0
PS 206(Brooklyn),,1.0,,,,,,1.0
PS 206(Manhattan),1.0,,1.0,2.0,,,,4.0
PS 207(Brooklyn),,,1.0,,,,,1.0
PS 208(Manhattan),1.0,,,,,,,1.0
PS 211(Bronx),,6.0,,1.0,,,,7.0
PS 212(Queens),,1.0,,,,,,1.0
PS 214 Annex(Brooklyn),,1.0,,,,,,1.0
PS 214(Bronx),2.0,3.0,2.0,,,,,7.0
PS 214(Brooklyn),,2.0,,,,,,2.0
PS 214(Queens),1.0,,,,,,,1.0
PS 215(Brooklyn),1.0,1.0,,,,,,2.0
PS 218(Bronx),,1.0,,,,,,1.0
PS 219(Brooklyn),,,,1.0,,,,1.0
PS 22(BN),1.0,,,1.0,,,,2.0
PS 22(Queens),1.0,,,,,,,1.0
PS 22(Staten Island),,,,2.0,,,,2.0
PS 221(Brooklyn),,,,1.0,,,,1.0
PS 224(Brooklyn),,1.0,,,,,,1.0
PS 224@P710(Queens),,1.0,,,,,,1.0
PS 225(Brooklyn),,3.0,,,,,,3.0
PS 226(Bronx),,,1.0,,,,,1.0
PS 23(Bronx),,,1.0,,,,,1.0
PS 23(Brooklyn),,2.0,,,,,,2.0
PS 230(Bronx),,2.0,1.0,,,,,3.0
PS 234(Bronx),,8.0,,3.0,,,,11.0
PS 236(Brooklyn),,1.0,,,,,,1.0
PS 239 (QUEENS),,1.0,,,,,,1.0
PS 24(Bronx),,1.0,,,,,,1.0
PS 241(Brooklyn),,1.0,,1.0,,,,2.0
PS 243(Brooklyn),3.0,,,2.0,,,,5.0
PS 244(BS),,,1.0,,,,,1.0
PS 246(Bronx),,1.0,,,,,,1.0
PS 25(Bronx),,1.0,,,,,,1.0
PS 25(Brooklyn),,3.0,,,,,,3.0
PS 251(Queens),,3.0,,1.0,,,,4.0
PS 253(Brooklyn),,,,1.0,,,,1.0
PS 254(Queens),,1.0,,,,,,1.0
PS 256 @ PS 43(Queens),,2.0,,,,,,2.0
PS 26 (Brooklyn),,,,1.0,,,,1.0
PS 264 Bay Ridge Elementary School for the Arts(BS),,,,1.0,,,,1.0
PS 268(Brooklyn),,,,1.0,,,,1.0
PS 269(Brooklyn),,1.0,,,,,,1.0
PS 270(Brooklyn),,1.0,,,,,,1.0
PS 270(Queens),,2.0,,,,,,2.0
PS 272(Brooklyn),1.0,,,,,,,1.0
PS 273(Brooklyn),,,,1.0,,,,1.0
PS 274(Brooklyn),,1.0,,1.0,,,,2.0
PS 277(Brooklyn),,1.0,,,,,,1.0
PS 279(Bronx),,,6.0,1.0,,,,7.0
PS 280(Bronx),,1.0,4.0,2.0,,,,7.0
PS 282(Brooklyn),1.0,2.0,2.0,5.0,,,,10.0
PS 284 Lew Wallace(BN),1.0,2.0,,,,,,3.0
PS 287(Brooklyn),,2.0,,1.0,,,,3.0
PS 289(Brooklyn),,1.0,,,,,,1.0
PS 29(Bronx),2.0,1.0,,,,,,3.0
PS 29(Staten Island),,1.0,,,,,,1.0
PS 290(Brooklyn),,1.0,,,,,,1.0
PS 297(Brooklyn),,,,1.0,,,,1.0
PS 298(Brooklyn),,2.0,,1.0,,,,3.0
PS 299(Brooklyn),1.0,,,1.0,1.0,,,3.0
PS 3 Charrette School (Manhattan),,,1.0,,,,,1.0
PS 3(Bronx),1.0,,1.0,,,,,2.0
PS 3(Brooklyn),,2.0,,,,,,2.0
PS 3(Staten Island),,2.0,,,,,,2.0
PS 30 (Manhattan),1.0,2.0,,,,,,3.0
PS 30(Bronx),,3.0,,,,,,3.0
PS 305(Brooklyn),,,2.0,,,,,2.0
PS 306(Bronx),,1.0,,,,,,1.0
PS 306(Brooklyn),1.0,3.0,1.0,3.0,,,,8.0
PS 307(Bronx),,3.0,,,,,,3.0
PS 307(Brooklyn),,2.0,,1.0,,,,3.0
PS 308(Brooklyn),,1.0,4.0,3.0,,,1.0,9.0
PS 309(Brooklyn),,,,1.0,,,,1.0
PS 315(Brooklyn),,,,2.0,,,,2.0
PS 32(Bronx),,1.0,,,,,,1.0
PS 32(Brooklyn),,1.0,1.0,,,,,2.0
PS 32(Staten Island),1.0,,,,,,,1.0
PS 327(Brooklyn),1.0,4.0,2.0,5.0,,,,12.0
PS 329(Brooklyn),,2.0,,,,,,2.0
PS 33(Bronx),,2.0,,,,,,2.0
PS 332(Brooklyn),,3.0,,,,,,3.0
PS 335(Brooklyn),,1.0,2.0,2.0,,,,5.0
PS 34(Queens),,3.0,,,,,,3.0
PS 345(Brooklyn),,,,2.0,,,,2.0
PS 346(Brooklyn),,,,2.0,,,,2.0
PS 35(Bronx),,4.0,,,,,,4.0
PS 354(QS),,,,1.0,,,,1.0
PS 36(Brooklyn),,2.0,,1.0,,,,3.0
PS 36(Staten Island),,,,1.0,,,3.0,4.0
PS 37(Queens),,1.0,,,,,,1.0
PS 375(Brooklyn),,,,5.0,,,,5.0
PS 376(Brooklyn),,1.0,,,,,,1.0
PS 38(Manhattan),1.0,,,,,,,1.0
PS 380(Brooklyn),,2.0,,,,,,2.0
PS 384(Brooklyn),,,,2.0,,,,2.0
PS 39(Staten Island),,,,1.0,,,,1.0
PS 399(Brooklyn),,,,2.0,,,,2.0
PS 40(Brooklyn),,1.0,,,,,,1.0
PS 40(Queens),1.0,,,,,,,1.0
PS 41(Brooklyn),1.0,,2.0,1.0,,,,4.0
PS 41(Staten Island),1.0,1.0,,1.0,,,,3.0
PS 42(Queens),1.0,,4.0,1.0,,,,6.0
PS 42(Staten Island),,,,1.0,,,,1.0
PS 42(XE),,,,1.0,,,,1.0
PS 43(Queens),,3.0,3.0,1.0,,,,7.0
PS 44(Bronx),,1.0,1.0,,,,,2.0
PS 44(Brooklyn),,1.0,1.0,6.0,,,,8.0
PS 44(Staten Island),1.0,1.0,,,,,,2.0
PS 45(Queens),,,,1.0,,,,1.0
PS 46(Brooklyn),,0.0,1.0,1.0,,,,2.0
PS 46(Manhattan),1.0,2.0,1.0,1.0,,,,5.0
PS 47(Bronx),,,,,,,1.0,1.0
PS 48 William C. Wilcox(SI),,1.0,,,,,,1.0
PS 48 William Wordsworth(QS),,2.0,,,,,,2.0
PS 48(Manhattan),,3.0,,,,,,3.0
PS 49 (Bronx),,,,1.0,,,,1.0
PS 49(Queens),,1.0,,,,,,1.0
PS 5(Bronx),,3.0,3.0,,,,,6.0
PS 5(Brooklyn),,1.0,,,,,,1.0
PS 50 (Manhattan),,1.0,1.0,2.0,,,,4.0
PS 50(Bx),,,,2.0,,,,2.0
PS 50(Queens),,2.0,,,,,,2.0
PS 52(Brooklyn),,,,2.0,,,,2.0
PS 52(Queens),,,,1.0,,,,1.0
PS 53(Bronx),1.0,,,,,,,1.0
PS 54(Bronx),,1.0,,,,,,1.0
PS 54(Brooklyn),,1.0,,,,,,1.0
PS 54(Staten Island),,2.0,,,,,,2.0
PS 55(Staten Island),1.0,,,1.0,,,,2.0
PS 55(XE),,1.0,,1.0,,,,2.0
